SOMAMER_ID	UniProt	TargetFullName	Target	HGNC	ensembl_id	chrom	gene	tss
ADM.14115.34.3	P35318	Adrenomedullin	Adrenomedullin	ADM	ENSG00000148926	11	ENSG00000148926	10326627.5
ADPGK.6221.1.3	Q9BRR6	ADP-dependent glucokinase	ADPGK	ADPGK	ENSG00000159322	15	ENSG00000159322	73076012.5
ADRBK1.3347.9.2	P25098	beta-adrenergic receptor kinase 1	BARK1	ADRBK1	ENSG00000173020	11	ENSG00000173020	67048955.0
ADSS.12644.63.3	P30520	Adenylosuccinate synthetase isozyme 2	PURA2	ADSS	ENSG00000035687	1	ENSG00000035687	244588216.0
ADSSL1.13998.26.3	Q8N142	Adenylosuccinate synthetase isozyme 1	PURA1	ADSSL1	ENSG00000185100	14	ENSG00000185100	105208268.5
AFP.5792.8.2	P02771	alpha-Fetoprotein	AFP	AFP	ENSG00000081051	4	ENSG00000081051	74301964.0
AGER.4125.52.2	Q15109	Advanced glycosylation end product-specific receptor, soluble	sRAGE	AGER	ENSG00000204305	6	ENSG00000204305	32152010.5
AGFG1.11681.8.3	P52594	Arf-GAP domain and FG repeat-containing protein 1	NUPL	AGFG1	ENSG00000173744	2	ENSG00000173744	228337088.0
AGGF1.8051.10.3	Q8N302	Angiogenic factor with G patch and FHA domains 1	AGGF1	AGGF1	ENSG00000164252	5	ENSG00000164252	76326222.5
AGO1.11651.24.3	Q9UL18	Protein argonaute-1	AGO1	AGO1	ENSG00000092847	1	ENSG00000092847	36342109.5
AGR2.4959.2.1	O95994	Anterior gradient protein 2 homolog	AGR2	AGR2	ENSG00000106541	7	ENSG00000106541	16844623.0
AGRP.2813.11.2	O00253	Agouti-related protein	ART	AGRP	ENSG00000159723	16	ENSG00000159723	67517716.0
AHSA1.11633.89.3	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	AHSA1	ENSG00000100591	14	ENSG00000100591	77926012.0
AHSG.3581.53.3	P02765	Alpha-2-HS-glycoprotein	a2-HS-Glycoprotein	AHSG	ENSG00000145192	3	ENSG00000145192	186330855.0
AIF1.2849.49.1	P55008	Allograft inflammatory factor 1	AIF1	AIF1	ENSG00000204472	6	ENSG00000204472	31583004.0
AIFM1.13424.51.3	O95831	Apoptosis-inducing factor 1, mitochondrial	AIF	AIFM1	ENSG00000156709	X	ENSG00000156709	129299638.0
AIFM1.9522.3.3	O95831	Apoptosis-inducing factor 1, mitochondrial	AIF	AIFM1	ENSG00000156709	X	ENSG00000156709	129299638.0
AIMP1.2714.78.2	Q12904	Endothelial monocyte-activating polypeptide 2	EMAP-2	AIMP1	ENSG00000164022	4	ENSG00000164022	107236810.0
AK1.5012.67.1	P00568	Adenylate kinase isoenzyme 1	Myokinase, human	AK1	ENSG00000106992	9	ENSG00000106992	130636554.5
AKR1A1.4192.10.2	P14550	Alcohol dehydrogenase [NADP(+)]	AK1A1	AKR1A1	ENSG00000117448	1	ENSG00000117448	46016740.0
AKR1B1.9854.36.3	P15121	Aldose reductase	Aldose reductase	AKR1B1	ENSG00000085662	7	ENSG00000085662	134143881.5
AKR1C1.12618.50.3	Q04828	Aldo-keto reductase family 1 member C1	Aldo-keto reductase 1C1	AKR1C1	ENSG00000187134	10	ENSG00000187134	5005543.0
AKT1.AKT2.AKT3.2867.52.2	P31749,P31751,Q9Y243	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	AKT1.AKT2.AKT3	ENSG00000105221	19	ENSG00000105221	40771839.0
AKT1.AKT2.AKT3.2867.52.2	P31749,P31751,Q9Y243	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	AKT1.AKT2.AKT3	ENSG00000142208	14	ENSG00000142208	105256370.5
AKT1.AKT2.AKT3.2867.52.2	P31749,P31751,Q9Y243	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	AKT1.AKT2.AKT3	ENSG00000117020	1	ENSG00000117020	243994007.0
AKT1.AKT2.AKT3.3392.68.2	P31749,P31751,Q9Y243	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	AKT1.AKT2.AKT3	ENSG00000105221	19	ENSG00000105221	40771839.0
AKT1.AKT2.AKT3.3392.68.2	P31749,P31751,Q9Y243	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	AKT1.AKT2.AKT3	ENSG00000142208	14	ENSG00000142208	105256370.5
AKT1.AKT2.AKT3.3392.68.2	P31749,P31751,Q9Y243	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	AKT1.AKT2.AKT3	ENSG00000117020	1	ENSG00000117020	243994007.0
AKT2.14685.17.3	P31751	RAC-beta serine/threonine-protein kinase	PKB beta	AKT2	ENSG00000105221	19	ENSG00000105221	40771839.0
AKT2.5360.9.2	P31751	RAC-beta serine/threonine-protein kinase	PKB beta	AKT2	ENSG00000105221	19	ENSG00000105221	40771839.0
ALCAM.5451.1.3	Q13740	CD166 antigen	ALCAM	ALCAM	ENSG00000170017	3	ENSG00000170017	105241124.0
ALDH3A1.11480.1.3	P30838	Aldehyde dehydrogenase, dimeric NADP-preferring	Aldehyde dehydrogenase, class 3	ALDH3A1	ENSG00000108602	17	ENSG00000108602	19648993.0
ALDH3B1.12940.35.3	P43353	Aldehyde dehydrogenase family 3 member B1	AL3B1	ALDH3B1	ENSG00000006534	11	ENSG00000006534	67777813.0
ALDOA.5864.10.3	P04075	Fructose-bisphosphate aldolase A	aldolase A	ALDOA	ENSG00000149925	16	ENSG00000149925	30075818.0
ALDOC.9876.20.3	P09972	Fructose-bisphosphate aldolase C	aldolase C	ALDOC	ENSG00000109107	17	ENSG00000109107	26903909.0
ALKBH5.8793.13.3	Q6P6C2	RNA demethylase ALKBH5	ALKB5	ALKBH5	ENSG00000091542	17	ENSG00000091542	18087553.0
ALOX15B.12422.143.3	O15296	Arachidonate 15-lipoxygenase B	LX15B	ALOX15B	ENSG00000179593	17	ENSG00000179593	7942358.0
ALPI.10463.23.3	P09923	Intestinal-type alkaline phosphatase	Alkaline phosphatase, intestine	ALPI	ENSG00000163295	2	ENSG00000163295	233320834.0
AMBN.6522.57.3	Q9NP70	Ameloblastin	AMBN	AMBN	ENSG00000178522	4	ENSG00000178522	71457992.5
AMELX.8578.45.3	Q99217	Amelogenin, X isoform	AMELX	AMELX	ENSG00000125363	X	ENSG00000125363	11311533.0
AMH.4923.79.1	P03971	Muellerian-inhibiting factor	MIS	AMH	ENSG00000104899	19	ENSG00000104899	2249380.5
AMICA1.5094.62.3	Q86YT9	Junctional adhesion molecule-like	JAML1	AMICA1	ENSG00000160593	11	ENSG00000160593	118090204.0
AMICA1.8232.90.3	Q86YT9	Junctional adhesion molecule-like	JAML1	AMICA1	ENSG00000160593	11	ENSG00000160593	118090204.0
AMIGO1.9979.13.3	Q86WK6	Amphoterin-induced protein 1	AMGO1	AMIGO1	ENSG00000181754	1	ENSG00000181754	110052332.0
AMN.4322.28.3	Q9BXJ7	Protein amnionless	AMNLS	AMN	ENSG00000166126	14	ENSG00000166126	103395029.0
AMY1A.7918.114.3	P04745	Alpha-amylase 1	Amylase, alpha 1A	AMY1A	ENSG00000237763	1	ENSG00000237763	104198640.0
ANAPC10.12345.4.3	Q9UM13	Anaphase-promoting complex subunit 10	APC10	ANAPC10	ENSG00000164162	4	ENSG00000164162	146019341.0
ANAPC7.11690.47.3	Q9UJX3	Anaphase-promoting complex subunit 7	APC7	ANAPC7	ENSG00000196510	12	ENSG00000196510	110823076.0
ANGPT1.2811.27.1	Q15389	Angiopoietin-1	Angiopoietin-1	ANGPT1	ENSG00000154188	8	ENSG00000154188	108348750.0
ANGPT2.13660.76.3	O15123	Angiopoietin-2	Angiopoietin-2	ANGPT2	ENSG00000091879	8	ENSG00000091879	6420775.0
ANGPT2.2602.2.2	O15123	Angiopoietin-2	Angiopoietin-2	ANGPT2	ENSG00000091879	8	ENSG00000091879	6420775.0
ANGPT4.2500.2.3	Q9Y264	Angiopoietin-4	Angiopoietin-4	ANGPT4	ENSG00000101280	20	ENSG00000101280	896968.5
ANGPTL1.11142.11.3	O95841	Angiopoietin-related protein 1	ANGL1	ANGPTL1	ENSG00000116194	1	ENSG00000116194	178840157.0
ANGPTL1.9092.33.3	O95841	Angiopoietin-related protein 1	ANGL1	ANGPTL1	ENSG00000116194	1	ENSG00000116194	178840157.0
ANGPTL3.3281.19.1	Q9Y5C1	Angiopoietin-related protein 3	ANGL3	ANGPTL3	ENSG00000132855	1	ENSG00000132855	63066705.0
ANGPTL4.3796.79.2	Q9BY76	Angiopoietin-related protein 4	ANGL4	ANGPTL4	ENSG00000167772	19	ENSG00000167772	8429040.0
ANGPTL7.6371.50.3	O43827	Angiopoietin-related protein 7	ANGL7	ANGPTL7	ENSG00000171819	1	ENSG00000171819	11251541.0
ANK2.7624.19.3	Q01484	Ankyrin-2	ANK2	ANK2	ENSG00000145362	4	ENSG00000145362	114214138.0
ANKRD27.12445.50.3	Q96NW4	Ankyrin repeat domain-containing protein 27	ANR27	ANKRD27	ENSG00000105186	19	ENSG00000105186	33166075.0
ANKRD46.7851.30.3	Q86W74	Ankyrin repeat domain-containing protein 46	ANR46	ANKRD46	ENSG00000186106	8	ENSG00000186106	101571970.0
ANP32A.13073.14.3	P39687	Acidic leucine-rich nuclear phosphoprotein 32 family member A	AN32A	ANP32A	ENSG00000140350	15	ENSG00000140350	69109954.0
ANP32B.4194.26.3	Q92688	Acidic leucine-rich nuclear phosphoprotein 32 family member B	AN32B	ANP32B	ENSG00000136938	9	ENSG00000136938	100746874.0
ANXA1.4960.72.1	P04083	Annexin A1	annexin I	ANXA1	ENSG00000135046	9	ENSG00000135046	75769694.0
ANXA10.13605.16.3	Q9UJ72	Annexin A10	ANX10	ANXA10	ENSG00000109511	4	ENSG00000109511	169086335.0
ANXA2.13700.10.3	P07355	Annexin A2	annexin II	ANXA2	ENSG00000182718	15	ENSG00000182718	60690185.0
ANXA2.4961.17.1	P07355	Annexin A2	annexin II	ANXA2	ENSG00000182718	15	ENSG00000182718	60690185.0
ANXA9.13588.11.3	O76027	Annexin A9	ANXA9	ANXA9	ENSG00000143412	1	ENSG00000143412	150954609.0
AOC2.6434.18.3	O75106	Retina-specific copper amine oxidase	Amine oxidase	AOC2	ENSG00000131480	17	ENSG00000131480	40996617.5
AP4M1.10076.1.3	O00189	AP-4 complex subunit mu-1	AP4M1	AP4M1	ENSG00000221838	7	ENSG00000221838	99699287.0
APAF1.13583.19.3	O14727	Apoptotic protease-activating factor 1	Apaf-1	APAF1	ENSG00000120868	12	ENSG00000120868	99042112.5
APBB1.12822.34.3	O00213	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	APBB1	ENSG00000166313	11	ENSG00000166313	6426645.0
APBB1.14206.28.3	O00213	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	APBB1	ENSG00000166313	11	ENSG00000166313	6426645.0
APBB2.12753.6.3	Q92870	Amyloid beta A4 precursor protein-binding family B member 2	APBB2	APBB2	ENSG00000163697	4	ENSG00000163697	41016402.0
APBB2.12761.12.3	Q92870	Amyloid beta A4 precursor protein-binding family B member 2	APBB2	APBB2	ENSG00000163697	4	ENSG00000163697	41016402.0
APBB3.13589.10.3	O95704	Amyloid beta A4 precursor protein-binding family B member 3	APBB3	APBB3	ENSG00000113108	5	ENSG00000113108	139943956.0
APCDD1.6599.5.3	Q8J025	Protein APCDD1	APCD1	APCDD1	ENSG00000154856	18	ENSG00000154856	10454930.0
APCS.2474.54.5	P02743	Serum amyloid P-component	SAP	APCS	ENSG00000132703	1	ENSG00000132703	159557615.0
APEX1.9849.13.3	P27695	DNA-(apurinic or apyrimidinic site) lyase	APEX1	APEX1	ENSG00000100823	14	ENSG00000100823	20923386.0
APLP2.10627.87.3	Q06481	Amyloid-like protein 2	APLP2	APLP2	ENSG00000084234	11	ENSG00000084234	129939789.0
APLP2.7915.31.3	Q06481	Amyloid-like protein 2	APLP2	APLP2	ENSG00000084234	11	ENSG00000084234	129939789.0
APMAP.10605.22.3	Q9HDC9	Adipocyte plasma membrane-associated protein	APMAP	APMAP	ENSG00000101474	20	ENSG00000101474	24973360.0
APOA5.11318.20.3	Q6Q788	Apolipoprotein A-V	Apo A-V	APOA5	ENSG00000110243	11	ENSG00000110243	116663127.0
APOA5.12908.15.3	Q6Q788	Apolipoprotein A-V	Apo A-V	APOA5	ENSG00000110243	11	ENSG00000110243	116663127.0
APOB.2797.56.2	P04114	Apolipoprotein B	Apo B	APOB	ENSG00000084674	2	ENSG00000084674	21266889.5
APOBEC3G.13930.3.3	Q9HC16	DNA dC->dU-editing enzyme APOBEC-3G	ABC3G	APOBEC3G	ENSG00000239713	22	ENSG00000239713	39473086.5
APOD.4712.28.2	P05090	Apolipoprotein D	Apo D	APOD	ENSG00000189058	3	ENSG00000189058	195310825.0
APOD.8262.20.3	P05090	Apolipoprotein D	Apo D	APOD	ENSG00000189058	3	ENSG00000189058	195310825.0
APOE.2937.10.2	P02649	Apolipoprotein E (isoform E3)	Apo E3	APOE	ENSG00000130203	19	ENSG00000130203	45409053.0
APOE.5312.49.3	P02649	Apolipoprotein E (isoform E2)	Apo E2	APOE	ENSG00000130203	19	ENSG00000130203	45409053.0
APOF.12370.30.3	Q13790	Apolipoprotein F	Apo F	APOF	ENSG00000175336	12	ENSG00000175336	56756607.0
APOL1.11510.31.3	O14791	Apolipoprotein L1	Apo L1	APOL1	ENSG00000100342	22	ENSG00000100342	36649179.0
APOL1.9506.10.3	O14791	Apolipoprotein L1	Apo L1	APOL1	ENSG00000100342	22	ENSG00000100342	36649179.0
APOM.10445.20.3	O95445	Apolipoprotein M	ApoM	APOM	ENSG00000204444	6	ENSG00000204444	31620194.0
APOM.14125.5.3	O95445	Apolipoprotein M	ApoM	APOM	ENSG00000204444	6	ENSG00000204444	31620194.0
APOO.9373.405.3	Q9BUR5	MICOS complex subunit MIC26	APOO	APOO	ENSG00000184831	X	ENSG00000184831	23926020.0
APP.3171.57.2	P05067	Amyloid beta A4 protein	amyloid precursor protein	APP	ENSG00000142192	21	ENSG00000142192	27541747.0
APPL1.12825.18.3	Q9UKG1	DCC-interacting protein 13-alpha	DP13A	APPL1	ENSG00000157500	3	ENSG00000157500	57261884.5
AREG.2970.60.2	P15514	Amphiregulin	AREG	AREG	ENSG00000109321	4	ENSG00000109321	75310936.0
ARF3.12578.13.3	P61204	ADP-ribosylation factor 3	ARF3	ARF3	ENSG00000134287	12	ENSG00000134287	49351194.5
ARF6.12425.104.3	P62330	ADP-ribosylation factor 6	ARF6	ARF6	ENSG00000165527	14	ENSG00000165527	50359810.0
ARFGAP2.11664.32.3	Q8N6H7	ADP-ribosylation factor GTPase-activating protein 2	ARFG2	ARFGAP2	ENSG00000149182	11	ENSG00000149182	47198419.0
ARFIP1.13488.3.3	P53367	Arfaptin-1	ARFP1	ARFIP1	ENSG00000164144	4	ENSG00000164144	153701145.0
ARFIP2.12630.8.3	P53365	Arfaptin-2	ARFP2	ARFIP2	ENSG00000132254	11	ENSG00000132254	6502554.0
ARHGAP1.11955.1.3	Q07960	Rho GTPase-activating protein 1	RHG01	ARHGAP1	ENSG00000175220	11	ENSG00000175220	46719122.0
ARHGAP25.11333.82.3	P42331	Rho GTPase-activating protein 25	RHG25	ARHGAP25	ENSG00000163219	2	ENSG00000163219	68962208.0
ARHGAP30.12807.89.3	Q7Z6I6	Rho GTPase-activating protein 30	RHG30	ARHGAP30	ENSG00000186517	1	ENSG00000186517	161039660.0
ARHGAP36.6289.78.3	Q6ZRI8	Rho GTPase-activating protein 36	RHG36	ARHGAP36	ENSG00000147256	X	ENSG00000147256	130206962.0
ARHGAP5.14748.31.3	Q13017	Rho GTPase-activating protein 5	RHG05	ARHGAP5	ENSG00000100852	14	ENSG00000100852	32546495.0
ARHGDIA.6454.38.3	P52565	Rho GDP-dissociation inhibitor 1	Rho-GDIa	ARHGDIA	ENSG00000141522	17	ENSG00000141522	79829202.0
ARHGDIB.9846.32.3	P52566	Rho GDP-dissociation inhibitor 2	Rho-GDI beta	ARHGDIB	ENSG00000111348	12	ENSG00000111348	15114200.0
ARHGEF1.13976.9.3	Q92888	Rho guanine nucleotide exchange factor 1	ARHG1	ARHGEF1	ENSG00000076928	19	ENSG00000076928	42399452.0
ARHGEF10.9061.3.3	O15013	Rho guanine nucleotide exchange factor 10	ARHGA	ARHGEF10	ENSG00000104728	8	ENSG00000104728	1808070.5
ARHGEF2.12848.9.3	Q92974	Rho guanine nucleotide exchange factor 2	ARHG2	ARHGEF2	ENSG00000116584	1	ENSG00000116584	155948218.0
ARHGEF25.13519.112.3	Q86VW2	Rho guanine nucleotide exchange factor 25	ARHGP	ARHGEF25	ENSG00000240771	12	ENSG00000240771	58008220.0
ARHGEF7.13932.45.3	Q14155	Rho guanine nucleotide exchange factor 7	COOL-1	ARHGEF7	ENSG00000102606	13	ENSG00000102606	111806036.0
ARID3A.3875.62.1	Q99856	AT-rich interactive domain-containing protein 3A	ARI3A	ARID3A	ENSG00000116017	19	ENSG00000116017	930593.5
ARL1.12392.30.3	P40616	ADP-ribosylation factor-like protein 1	ARL1	ARL1	ENSG00000120805	12	ENSG00000120805	101801524.0
ARL11.12433.8.3	Q969Q4	ADP-ribosylation factor-like protein 11	ARL11	ARL11	ENSG00000152213	13	ENSG00000152213	50202547.0
ARL3.12571.14.3	P36405	ADP-ribosylation factor-like protein 3	ARL3	ARL3	ENSG00000138175	10	ENSG00000138175	104474164.0
ARMC5.8785.1.3	Q96C12	Armadillo repeat-containing protein 5	ARMC5	ARMC5	ENSG00000140691	16	ENSG00000140691	31470317.0
ARMC5.8816.44.3	Q96C12	Armadillo repeat-containing protein 5	ARMC5	ARMC5	ENSG00000140691	16	ENSG00000140691	31470317.0
ARMC5.9945.8.3	Q96C12	Armadillo repeat-containing protein 5	ARMC5	ARMC5	ENSG00000140691	16	ENSG00000140691	31470317.0
ARPC3.13573.5.3	O15145	Actin-related protein 2/3 complex subunit 3	p21-ARC	ARPC3	ENSG00000111229	12	ENSG00000111229	110888073.0
ARPP19.4963.19.1	P56211	cAMP-regulated phosphoprotein 19	ARP19	ARPP19	ENSG00000128989	15	ENSG00000128989	52861364.0
ARPP21.12860.7.3	Q9UBL0	cAMP-regulated phosphoprotein 21	cAMP-regulated phosphoprotein 21	ARPP21	ENSG00000172995	3	ENSG00000172995	35721237.0
ARRB1.12643.4.3	P49407	Beta-arrestin-1	ARRB1	ARRB1	ENSG00000137486	11	ENSG00000137486	75017753.0
ARRDC3.12352.70.3	Q96B67	Arrestin domain-containing protein 3	ARRD3	ARRDC3	ENSG00000113369	5	ENSG00000113369	90675968.0
ARSA.3583.54.4	P15289	Arylsulfatase A	Arylsulfatase A	ARSA	ENSG00000100299	22	ENSG00000100299	51066598.0
ARSB.3172.28.2	P15848	Arylsulfatase B	ARSB	ARSB	ENSG00000113273	5	ENSG00000113273	78281634.5
ARSK.8269.327.3	Q6UWY0	Arylsulfatase K	ARSK	ARSK	ENSG00000164291	5	ENSG00000164291	94890871.0
ART3.10970.3.3	Q13508	Ecto-ADP-ribosyltransferase 3	NAR3	ART3	ENSG00000156219	4	ENSG00000156219	76995866.0
ART3.7970.315.3	Q13508	Ecto-ADP-ribosyltransferase 3	NAR3	ART3	ENSG00000156219	4	ENSG00000156219	76995866.0
ART4.6576.1.3	Q93070	Ecto-ADP-ribosyltransferase 4	ART4	ART4	ENSG00000111339	12	ENSG00000111339	14995996.0
ARTN.2939.10.2	Q5T4W7	Artemin	Artemin	ARTN	ENSG00000117407	1	ENSG00000117407	44399518.0
ASAH1.5748.20.3	Q13510	Acid ceramidase	Acid ceramidase	ASAH1	ENSG00000104763	8	ENSG00000104763	17941600.5
ASAH2.3212.30.3	Q9NR71	Neutral ceramidase	ASAH2	ASAH2	ENSG00000188611	10	ENSG00000188611	52004310.0
ASAP2.13518.5.3	O43150	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	ASAP2	ASAP2	ENSG00000151693	2	ENSG00000151693	9490588.0
ASCC1.10647.18.3	Q8N9N2	Activating signal cointegrator 1 complex subunit 1	ASCC1	ASCC1	ENSG00000138303	10	ENSG00000138303	73976024.0
ASGR1.5452.71.3	P07306	Asialoglycoprotein receptor 1	ASGR1	ASGR1	ENSG00000141505	17	ENSG00000141505	7082054.5
ASGR2.9474.22.3	P07307	Asialoglycoprotein receptor 2	ASGR2	ASGR2	ENSG00000161944	17	ENSG00000161944	7018142.0
ASH1L.12622.96.3	Q9NR48	Histone-lysine N-methyltransferase ASH1L	ASH1L	ASH1L	ENSG00000116539	1	ENSG00000116539	155340659.0
